score,content
1,for whatever reason my game used to work just fine except for cutscenes when it crashed and would not play so i had to use geforce but now it just refuses to open it opens up shows a black screen and promptly crashes again i have tried uninstalling and reinstalling took about three hour by the way and restarting my device it just does not work fun game though
1,i do like this game but there is seriously thing they need to fix mostly either being able to skip dialogue or pause stuff as i have been continuing the archon quest from the current update and it is been on for over minute without being able to stop it because if you do you need to redo everything if they could at least warn people on how long it is before you can stop but no of course not they need to fix this not everyone wants has time to go through with everything straight away
1,downloaded it once and it worked downloaded it again and now it says insufficient space every single time even though i have plenty of space i have deleted apps removed pictures and i have done everything i could to try to make it work delete and redownload restart phone clear cache and data clear cache and data for my playstore everything disappointing as hell i cannot play
1,my data is mbps when i open this game the ms speed is normal but when i do daily or run a mission his ping turns red and his ms is every time i meet an enemy something like that must happen when not fighting ms is normal but when you meet the enemy ms lag all the time waste a lot of money and feel like a loss when something like this happens sorry my english is bad i have been playing this game since it was released it is really disappointing
1,i have not played the game because of some problems when the game is done downloading and i try to play it it says i have infuscent space when that stops it starts loading but it never finish the process please fix it
1,i used to love this game but now i am quite disappointed in wishing system there is no guarantee that you will get the five star character which you are aiming for even if you use with wish it is one of the reason now that i have stopped playing this game although graphic and storyline is great but wishing system nah highly disappointed not gonna play this game anymore one star is enough
1,resin per day is an atrocious idea that and the fact certain character get powercrept so bad with each new region character should be complete at constellationand their constellation should serve only as optional qol improvements and yet hoyoverse is so greedy for the dollar that character are now expected to be decent at constellationand their full potential is locked in constellation not to mention the lack of a skip button a gigabyte open world game lacks a skip button guys amazing
1,the looks cool and i would really like to play it but in the state it is in now i would have to delete my system files to have it run on my device if the bulky files could download to the sd card then it would run fine but as it is only the games smallest files will download to my sd card while the others will only download to my internal storage
1,my phone stops working every time i try too play the game normally it happens often in fontaine can you please fix this no matter what i do i can never play the game i lost two of my account because of this whether i uninstall the game and re install it it does not work i have too keep on restarting my phone and it does not work either i am not even in the highest graphic i am at the lowest
1,do not bother playing on mobile this is a pc console game it is been frustrating deleting a bunch of my stuff just to try and fit the size requirements of this game only to fail everytime stick to console or pc mobile controls are not great anyways and there is no controller support it is a great game otherwise but the mobile support is abysmal
1,been trying to update and redownload the game several times and i have even tried getting rid of other apps and photos and stuff yet it keeps telling me i have insufficient storage when it starts the download after i log in loved playing it but can no longer continue thanks to whatever is blocking me from playing
1,the game just getting worst and lots of bugs because the bug still do not fix in lonely place where my screen turn black and crash and also i cannot complete archon quest now because the mission there is just black screen i try reopening the game and nothing is showing on the screen another problem when i use kaeya with her freeze skill in water there is no ice showing in the water i tried reporting this bug in feedback in the game i am still waiting for update
1,stupid app do not you know how long i waited to download the download of the update started all over again when it reached gigabyte in size and i had to keep hitting retry when a notification popped up check connection while downloading it even though my internet connection was fine stupid app i retired today after playing from version had enough of it
1,gigabytes download file optimization and shaders optimization took forever only to only get stuck in a story i could not skip and choose either male or female children character with no customization then cause i left the stupid fairy to go directly to my destination instead of the long way it wanted me to go all the way back to follow it uninstalled it
1,from what i could see just the main menu the game looked decent but i cannot play the game because it says i have insignificant storage so i deleted everything my phone now has nothing but the playstore and genshin no photos either i am very disappointed and will not be trying to download play it again
1,downloaded the game last night went to play it after work to find it had to download an update five hour later and the update is at no reason whatsoever any mobile game should take five hour plus before it can be played expecially on the newest model phone with cell service and internet connection have not even played the game and already annoyed with it
1,why would anybody continue to play this when you get thrown away from every little twig that gets thrown at you but do it to enemies and they still hitting you like nothin happens to them no skip dialogue glitch that make the enemies not lose their shield glitch that keep you falling in place the pulls in the shop are so bad saying it is chance but spend like one hundred fate thing and most of them only gave me one character over and over again do they care to actually make it that no
1,i really love this game but i deleted it few months ago because it was to lag and now i downloaded it again it took me ten hour to download everything and then it will not even let me play everytime i restarted the game and when its in the loading screen when the geo part is almost done the game automatically log out
1,i tried downloading the app on chromebook and it crashes whenever it tries to download shaders i looked through other reviews and hoyoverse says thing like talk to in game customer support but i cannot get to in game customer support because the game crashes when i try to download it great game played on ps bulky app and it will collect dust until i get a pc which will probably never happen sucks for hoyo too because i would buy primo if it downloaded
1,sigh after two years playing a game with a stunning graphic great story and lore unique combat mechanic building many character so it will be stronger i am now devastated by hoyoverse statement to not give an end game content just because it will give anxiety to casual players what a stupid statement i planned to quit the game if hoyoverse do not want to change plan after patch end after all i am pretty finish building all element character and only comeback if hoyoverse hear us
1,a decent game but we have way too much dialogue that cannot be skipped missions that seems that i am an employee for this game where i spend hour to earn some meaningless reward and it gets boring with same enemies quest while story it is all over the place although i am a day one player i had no option but to quit because game was more draining than rewarding
1,i downloaded the game from play store because it looked amazing however after connecting my facebook gmail it kept saying insufficient storage available i removed over gigabyte on my phone i uninstalled reinstalled and even after all of this it still says the same thing my phone is a samsung fe with one terabyte of storage so maybe you folks might need an update or send me a manual of how i am doing this wrong i will update when this gets resolved until then i am uninstalling
1,since i have downloaded the fontaine map it keeps on glitching and then shut off the apps on itself then i will have to reload the game all over again it happened multiple times consecutively that i am just sick of it and decided not to play the game for weeks now when i start the game the problem is still happening hoyoverse please fix this i legit cannot play this game if it keeps on shutting down on itself i will change my rating if you fix this issue thank you
1,when i play this game even if its on low graphic my phone still heats up and it freeze my phone for a while and i have to leave it in the freezer for minute for it to cool down it also takes up over of my storage which is really bad i cannot even change the settings because i know my phone will freeze its such a trash app because the only thing good about the updates are the new character and that is it instead of new charcters you should make the graphic look better wang ban dun bui zui
1,re downloaded after a year or so percent of the new content is basically a visual novel of very slow dialogue and is super boring it completely overshadows the other gameplay mechanic will not come back until there is an option to drastically decrease the time wasted in watching the character talk with each other
1,the game gets much too hard and makes it basically impossible for casual gamers to make it to inazuma i could not get past this one damn quest and now i am stuck there is no difficulty slider because this is a pay to win game you can only lower your world level one after you get up past the world level that i am currently at so i would just be at the same level that i am currently at i have basically had to quit the game because it is so aggravatingly difficult to play
1,character design and stories are well made but the main overall plot is non existent adventurer rank begins the miserable abyss and artifact gearing grind which ruins the game expensive gacha terrible rates do not chase gacha caution and do not spend any money on this game to enjoy it second anniversary event was moving settings sliders devs will never fix any problems ex notifications still broken after two years no android controller support quitting the game has been the best
1,no controller support cannot remove on screen buttons mobile exprience is not good pc version is worst cannot customize controls either they keep making the game boring i am back after a long time so there is a lot to explore but the event are still as boring as ever they need to hire better game designers
1,it is a really good would recommend to a lot of people but it takes up too much storage so i cannot play no more it would be a five star if you could make their a better chance to have more character and to get more animal character thank you for listening but please it takes up too much storage i deleted every single app on my phone but it will not work
1,a number of issues have built up over time but the worst for me has been the gameplay and damage output issues with new character especially dehya i am also disappointed we still do not have a resin cap or regeneration increase despite so many new bosses this has all been met with radio silence by the devs i am still enjoying the game but they get a star until they actually listen to player feedback
1,i reach out to customer service and they said that my phone is not compatible to install this game i just bought this phone this year and when i initially install the game works well after few weeks the game crash and got error saying system user interface is not responding tried to do basic trouble shooting but nothing works then when i check google play store it says on compatibility that it works on your device so i reinstalled it but fater couple of days it carsh again with the same error
1,it has been years since the release of the game and yet no controller support is given to android users showing favoritism in devices are an eyesore the storyline gets boring once you progress and you are forced to eat all the dialogues that are so long each dialogue only contains an important detail but the rest is bull overall the gacha system makes it a bearable game but with all the negative factors given it is not a game recommended for those who dislike faulty controls
1,really great game but i just recently spent dollars on a controller just to find out that there is no controller support for android like come on not funny other than that the graphic are really great and i love the story but if you could just add controller support for android i will put five stars and tell all my friends to play your games but right now i will play games that actually do have controller support for all devices but only because i cannot the touch screen much for reasons
1,this game was enjoyable when it originally came out as was the subsequent updates however because there is no skip option or alternatives it is tough to keep up with the storylines i know you work hard to create plot lines for genshin but some individuals simply do not have the time to keep up
1,uninstalled cos its a rip off if you want to level up real good you have to pay money even leveling up your character still is not good enough the stories are boring asf and take too long to skip too many mission all at once plus side games cannot keep up with play not enough rewards to level up or you have to be a certain level to fight for rewards to level up character
1,the game is good and all but the artifact system is super unfair i have been farming a domain for a certain character for over a year and i have not gotten a piece that fits well with my character the weapon banner is a huge scam and should not reset everyime this is the worst game it is super unfair and i am so unlucky for what we also need more resin
1,it is the only reason mobile action games do not have controller support is either developer lazyness or ineptitude despite claiming this app is in version it does not have even basic functionality expected of it is genre unplayable on mobile update years out and still no controller support this is basic functionality in unity dropping to one star
1,love this game great free zelda botw clone unfortunately my phone is not beefy enough to run but been playing on ps and it is amazing edit so years after this officially released on android we still have no controller support luckily i have the redmagic six pro gaming phone that has its own special controller similar to joycons that has remapping functions currently cannot find it and it is absolutely ridiculous our complaints are ignored star until it is fixed
1,for some reason the sprint and jump button cannot be moved they are where the attack buttons should be so you keep jumping and sprinting rather than attacking not sure why the buttons cannot be moved the interface sucks it is like the developers want you to stop playing for some reason
1,rng is so fckng awful high demand low return hard pity artifact roll artifact drop the substats for three years the qol requests that are not fulfilled but was instead put on the other game lmao i love the lore i love the character but playing is not rewarding and the rng does not help just makes me feel shit i do not feel like spending anymore cause it does not feel rewarding besides aside from the free items from codes which feels like scraps lol the new character have shitty skillset
1,we need skip button a lot of people already sent their complaint about this but no response we need skip button not because we want to skip stories think of it how about the people who changed servers that already know the flow of story archon quest but we do not have a choice but to click faster just to finish the dialogue lmao
1,this game was very good the storyline the graphic everything but after a few updates you cannot play on your phone every time i try it just glitch and close itself i have already set all the settings to low but you just cannot play anymore on the phone
1,still no controller support for three years but iphone already have why you cannot put it also to android device if you have already features on the other brand and also no skip features it takes a lot of time just to finish the dialogues but the gameplay takes shortly i do not want to do this to make your game bad but simple features for most few people wants that is they want to have geez keymapper apps gives also temp and banned the user still one star for features four star as good game
1,great game with new concepts and event upgrading constellation of five star character as well as getting and refining five star weapons are mostly impossible for any free to playplayer apart from that in game primo available through event are really less in quantity considering the number of with wish you have to make to get five star character and items also the resin refil is too slow and cap on it really sucks
1,it was great but everything feels like a chore now very long and boring dialogues in sumeru tcg which absolutely has nothing to do with open world rpg it was all unnecessary but you have to play through them or else you will not get the resources you will need edit everything is great again with fontaine but sumeru definitely left a bad aftertaste not going to change my rating because of that
1,very poor experience so far first it has to install the game from the play store and then just when you think you are ready to start playing it is got to download yet another package and after that ones downloaded it has to verify another package and this keeps going endlessly is this a goddamn music app or a game too bad they ripped off the theme from the titanic music
1,the games fun i will leave it at that i have no problem other than the lack of proper gamepad support but fix your goddamn optimization the thing almost brick my three days brand new phone when i fill your goddamn survey just because a whatsapp massage got in this incompetent truly left a rotten taste on my mouth for otherwise stellar game review
1,if you are on a chromebook do not install this it was really smooth until the sumeru update now there are various glitch if i play as a female character it crashes or acts like i walked out of the map if it is raining and i fight it crashes if i sit down i sink below the map and most of the character details do not load for me faceless just shadows one coloured clothes ect since fontaine it is been hard to even enter the game i usually have to try around six times before i get in
1,it is trash i cannot even play with a controller this game does not even have access to fps and it is supposed to be a really good game well i think not it is so bad that it keeps lag like crazy even on high end devices you need to have the fastest internet in the world for it to barely stay on ms as if it could not get worse fps controller are only and i mean only supported on ios as if it could not have gotten worse fix your game mihoyo it is trash and i mean favouritism
1,lots of boring dialogues that we cannot skip it is frustrating to start a random world quest or dialogue with npc character and not be able to skip the dialogue currently honkai sr keeps you more involved in the story as they use slang and perfectly adapt the game to the region in my case brazil
1,fresh player of genshin impact on mobile i have been dedicated to the game investing time and effort to boost my account with a star character after completing a pull on the banner i was disappointed to find that i still had not obtained a star character i understand luck plays a role but this experience left me feeling overlooked and d eartened progressing in the game without such character has become a daunting task especially as the monsters levels increase
1,i am going to talk about artifact first they are rigged second i have been farming for a good set for months and i have yet to get one resin powers everything you do in the game yet we get so little of it either raise the cap or decrease regen time also make rates for artifact less rigged add a mechanic where you can change the stats by using other farmable materials like honkai star rail change the domains so we do not have to get a piece from the set we are not farming having two sets in one is so bad
1,i love the game but like lol i know you have probably heard the same complaints before but skirks design is basic and lame i like suggestive design too but that design did you draw that with your left hand maybe its horrendous all that anticipation just to give her a piece of fabric for clothes i thought it was a joke when i saw her the first time are you all trying to turn genshin into honkai my problem is not that its sexy my problem is that it looks random and nothing special
1,been playing for two years on medium on my chromebook updated from android nine to performance took a huge hit and black boxes appeared around foliage completely unplayable had literally played before updating it was still where i left it contacted support suddenly they are telling me my device must be too low spec when the game got zero updates when i upgraded android version and my review here keeps disappearing for some reason
1,edited i play like for two days and after the next update it is already massive amount of storage and in the end i cannot play it at all i ended up delete it back after downloading amount of resources it is sad and i also cannot use the genshin cloud because mine is connected with facebook and there is no facebook option
