score,content
1, whatever reason game used work fine except cutscenes crashed play use geforce refuses open opens shows black screen promptly crashes tried uninstalling reinstalling took hour way restarting device work fun game 
1, like game seriously need fix mostly either able skip dialogue pause stuff continuing archon quest current update minute able stop need redo everything least warn people long stop course need fix everyone wants time everything straight away 
1, downloaded worked downloaded says insufficient space every single time plenty space deleted apps removed pictures everything try work delete redownload restart phone clear cache data clear cache data playstore everything disappointing hell cannot play 
1, data mbps open game ms speed normal daily run mission ping turns red ms every time meet enemy like must happen fighting ms normal meet enemy ms lag time waste lot money feel like loss like happens sorry english bad play game since released disappointing 
1, play game problems game downloading try play says infuscent space stops starts loading never finish process please fix 
1, used love game quite disappointed wishing system guarantee star character aiming use wished reason stopped play game although graphic storyline great wishing system nah highly disappointed gonna play game anymore star enough 
1, resin per day atrocious idea fact certain character powercrept bad new region character complete constellationand constellation serve optional qol improvements hoyoverse greedy dollar character expected decent constellationand full potential locked constellation mention lack skip button gigabyte open world game lacks skip button guys amazing 
1, looks cool like play state delete system files run device bulky files download sd card run fine games smallest files download sd card download internal storage 
1, phone stops working every time try play game normally happens often fontaine please fix matter never play game lost account whether uninstall game re install work keep restarting phone work either highest graphic lowest 
1, bother play mobile pc console game frustrating deleting bunch stuff try fit size requirements game fail everytime stick console pc mobile controls great anyways controller support great game otherwise mobile support abysmal 
1, trying update redownload game several times tried getting rid apps photos stuff keeps telling insufficient storage starts download log loved play longer continue thanks whatever blocking play 
1, game getting worst lot bugs bug fix lonely place screen turn black crash cannot complete archon quest mission black screen try reopening game nothing showing screen another problem use kaeya freeze skill water ice showing water tried reporting bug feedback game waiting update 
1, stupid app know long waited download download update started reached gigabyte size keep hitting retry notification popped check connection downloading internet connection fine stupid app retired today play version enough 
1, gigabytes download file optimization shaders optimization took forever stuck story skip choose either male female children character customization left stupid fairy directly destination instead long way wanted way back follow uninstalled 
1, see main menu game looked decent cannot play game says insignificant storage deleted everything phone nothing playstore genshin photos either disappointed trying download play 
1, downloaded game last night went play work find download update hour later update reason whatsoever mobile game take hour plus play expecially newest model phone cell service internet connection play game already annoyed 
1, anybody continue play thrown away every little twig thrown enemies hitting like nothin happens skip dialogue glitch enemies lose shield glitch keep falling place pulls shop bad saying chance spend like hundred fate gave character care 
1, love game deleted months ago lag downloaded took hour download everything let play everytime restarted game loading screen geo part almost game automatically log 
1, tried downloading app chromebook crashes whenever tries download shaders looked reviews hoyoverse says like talk game customer support cannot game customer support game crashes try download great game play ps bulky app collect dust pc probably never happen sucks hoyo buy primo downloaded 
1, sigh years play game stunning graphic great story lore unique combat mechanic building many character stronger devastated hoyoverse statement end game content anxiety casual players stupid statement planned quit game hoyoverse change plan patch end pretty finish building element character comeback hoyoverse hear us 
1, decent game way much dialogue cannot skip missions seems employee game spend hour earn meaningless reward boring enemies quest story place although day player option quit game draining rewarding 
1, downloaded game play store looked amazing however connecting facebook gmail saying insufficient storage available removed gigabyte phone uninstalled reinstalled says phone samsung fe terabyte storage maybe folks might need update send manual wrong update resolved uninstalling 
1, since downloaded fontaine map keeps glitching shut apps reload game happened multiple times consecutively sick decided play game weeks start game problem happening hoyoverse please fix legit cannot play game keeps shutting change rating fix issue thank 
1, play game low graphic phone heats freeze phone leave freezer minute cool takes storage bad cannot change settings know phone freeze trash app good updates new character instead new charcters graphic look better wang ban dun bui zui 
